,gvkey,deal year,Target name,pdpassgn_525
575,14487,2007,Tutogen Medical Inc,[12303544]
576,18484,2007,Web.com Inc,
577,23387,2007,ZEVEX International Inc,
578,24008,2007,MedImmune Inc,"[11057481, 11678473]"
579,24449,2007,Enpath Medical Inc,[13101396]
580,25000,2007,PolyMedica Corp,[11753699]
581,25080,2007,BISYS Group Inc,
582,25355,2007,Arrow International Inc,[11990432]
583,25433,2007,Cholestech Corp,[11256954]
584,25514,2007,Matritech Inc,[11786562]
585,28078,2007,Neoware Inc,
586,29661,2007,MapInfo Corp,[12201496]
587,30688,2007,Business Objects SA,[12347008]
588,30843,2007,Microtek Medical Holdings Inc,[12723643]
589,31144,2007,Applix Inc,
590,61355,2007,CheckFree Corp,"[11483113, 12427577]"
591,61498,2007,Hyperion Solutions Corp,[12743661]
592,61706,2007,Molecular Devices Corp,"[11763545, 12281935]"
593,61752,2007,Castelle Inc,
594,61877,2007,Neon Communications Group Inc,[12489699]
595,62336,2007,Cytyc Corp,"[12689998, 11366495]"
596,62709,2007,SpectraLink Corp,[11696638]
597,62913,2007,Digene Corp,[12377579]
598,63606,2007,Document Sciences Corp,
599,63663,2007,Authorize.Net Holdings Inc,[12007800]
600,64375,2007,Biosite Inc,"[12780209, 11570997]"
601,64606,2007,BEA Systems Inc,[12026637]
602,64639,2007,Covansys Corp,
603,113425,2007,Terayon Communication Systems Inc,[11905583]
604,113498,2007,24/7 Real Media Inc,[12037162]
605,115245,2007,Therma-Wave Inc,"[12404326, 10679463]"
606,118733,2007,Bioenvision Inc,
607,121437,2007,EasyLink Services Corp,
608,123094,2007,Agile Software Corp,[12690674]
609,129850,2007,Witness Systems Inc,[12470574]
610,133985,2007,Corillian Corp,
611,141957,2007,Opsware Inc,"[12916897, 12758426]"
612,145854,2007,VIASYS Healthcare Inc,"[12563322, 12822211]"
613,147200,2007,ViaCell Inc,[12529012]
614,147452,2007,Altiris Inc,[12244992]
615,155795,2007,Pharmion Corp,[12987855]
616,160203,2007,Color Kinetics Inc,[12724597]
617,160231,2007,Nextest Systems Corp,[12854868]
618,160260,2007,NAVTEQ Corp,[12878903]
619,160374,2007,New River Pharmaceuticals Inc,
620,160597,2007,IntraLase Corp,[12354595]
621,160607,2007,Stratagene Corp,"[11212459, 11478359]"
622,161037,2007,Adeza Biomedical Corp,[11750394]
623,161073,2007,FoxHollow Technologies Inc,
624,163672,2007,HemoSense Inc,[12146051]
625,163888,2007,Coley Pharmaceutical Group Inc,[12827230]
626,166365,2007,Visicu Inc,[12904656]
627,177838,2007,Xcorporeal Inc,
628,5074,2008,Electronic Data Systems Corp,[11998429]
629,6152,2008,InterVoice Inc,[12313956]
630,6169,2008,Iomega Corp,[12069915]
631,7250,2008,Mentor Corp,[11060425]
632,8925,2008,Radyne Corp,"[10584904, 10791318]"
633,13365,2008,Barr Pharmaceuticals Inc,[12887659]
634,14285,2008,Bentley Pharmaceuticals Inc,
635,19557,2008,HealthAxis Inc,
636,22718,2008,SYS Technologies Inc,
637,22765,2008,TouchStone Software Corp,
638,24179,2008,Genelabs Technologies Inc,[11406619]
639,24699,2008,ImClone Systems Inc,[11459034]
640,24982,2008,LifeCell Corp,[11464756]
641,27771,2008,Insightful Corp,[12632448]
642,29085,2008,Credence Systems Corp,"[11945234, 12722107]"
643,29992,2008,Encysive Pharmaceuticals Inc,[12713804]
644,31143,2008,Captaris Inc,[12863458]
645,61462,2008,Specialized Health Products International Inc,[12051525]
646,61560,2008,Photon Dynamics Inc,[11270127]
647,61570,2008,Secure Computing Corp,[12791143]
648,62571,2008,Ansoft Corp,
649,62911,2008,Avigen Inc,[11722856]
650,63100,2008,EP MedSystems Inc,[12818205]
651,64009,2008,Prescient Applied Intelligence Inc,
652,110562,2008,Digital Fusion Inc,
653,122360,2008,Packeteer Inc,[12146980]
654,124319,2008,Foundry Networks Inc,[12835218]
655,127075,2008,Digimarc Corp,[12680808]
656,127462,2008,Optio Software Inc,
657,133430,2008,Moldflow Corp,[11678256]
658,140445,2008,Kosan Biosciences Inc,[12133883]
659,140679,2008,Synplicity Inc,[12834472]
660,142106,2008,Third Wave Technologies Inc,[11791142]
661,155794,2008,NitroMed Inc,[12562044]
662,156615,2008,Kintera Inc,[12947799]
663,157757,2008,Motive Inc,[12971345]
664,160237,2008,Pharmacopeia Inc,"[12158625, 13184154, 12742417]"
665,160933,2008,Eagle Test Systems Inc,[12859842]
666,163721,2008,CryoCor Inc,[12855822]
667,163922,2008,Avalon Pharmaceuticals Inc,
668,165650,2008,SGX Pharmaceuticals Inc,
669,166450,2008,Omrix Biopharmaceuticals Inc,"[12334994, 12568733]"
670,177285,2008,Sirtris Pharmaceuticals Inc,
671,177870,2008,BladeLogic Inc,
672,182309,2008,ARCA biopharma Inc,
673,1478,2009,Wyeth,"[11021796, 10720009, 10443309, 10041806, 11751984, 10374419, 10144127]"
674,2299,2009,CardioDynamics International Corp,[12661986]
675,2950,2009,Chattem Inc,"[10149748, 12867559]"
676,7268,2009,Merrimac Industries Inc,[10337434]
677,9459,2009,Schering Plough Corp,"[12579654, 10583854]"
678,10553,2009,3Com Corp,"[11516776, 11749001, 11659883, 13083323, 11931678]"
679,12136,2009,Sun Microsystems Inc,"[11134904, 12936890, 12932380, 11557797]"
680,12390,2009,Candela Corp,"[12298533, 10466570, 11840076, 12895117, 11471600, 10217270]"
681,12679,2009,Silicon Graphics Inc,[10861733]
682,19069,2009,Neurogen Corp,[12275015]
683,24191,2009,Medarex Inc,[10965599]
684,28145,2009,Wind River Systems Inc,[10896179]
685,28758,2009,SPSS Inc,[11789708]
686,28942,2009,Corrpro Cos Inc,[10898657]
687,30697,2009,Affiliated Computer Services Inc,
688,61253,2009,AXS-One Inc,
689,62712,2009,i2 Technologies Inc,"[12434146, 12288989]"
690,63898,2009,Midway Games Inc,"[12588505, 12575083, 12415668]"
691,63996,2009,CV Therapeutics Inc,[11529937]
692,64397,2009,Avocent Corp,"[12801380, 12771756, 12848473]"
693,65072,2009,AMICAS Inc,[13100186]
694,65550,2009,Logility Inc,
695,66698,2009,CuraGen Corp,[12441256]
696,113361,2009,Catapult Communications Corp,
697,118003,2009,Perot Systems Corp,[12411175]
698,118445,2009,Vignette Corp,[12787793]
699,119216,2009,Varian Inc,[12293461]
700,120822,2009,Goldleaf Financial Solutions Inc,
701,124678,2009,Interwoven Inc,[12775299]
702,145809,2009,LogicVision Inc,[11912469]
703,148870,2009,Advanced Medical Optics Inc,[11439121]
704,158746,2009,Metabasis Therapeutics Inc,[11863597]
705,159125,2009,etrials Worldwide Inc,
706,162356,2009,Emageon Inc,
707,174871,2009,Omniture Inc,
708,176663,2009,Cougar Biotechnology Inc,
709,177286,2009,Starent Networks Corp,[13080440]
710,177740,2009,Data Domain Inc,
711,178547,2009,Targanta Therapeutics Corp,
712,178645,2009,Metavante Technologies Inc,
713,179459,2009,iBasis Inc,
714,3971,2010,Dionex Corp,[12101081]
715,6314,2010,K-Tron International Inc,"[10375808, 10171102]"
716,6370,2010,Keithley Instruments Inc,[11016727]
717,9340,2010,Valeant Pharmaceuticals International Inc,[12843902]
718,12233,2010,Genzyme Corp,"[11278544, 21986051, 11200676, 11733134, 12442591]"
719,15106,2010,Beckman Coulter Inc,"[12284990, 10127622]"
720,21066,2010,Medical Nutrition USA Inc,
721,27997,2010,Applied Signal Technology Inc,
722,29709,2010,Sonic Solutions,[11736571]
723,29939,2010,Biosphere Medical Inc,[12435028]
724,61523,2010,ADAM Inc,
725,64451,2010,Global Med Technologies Inc,
726,65527,2010,Hypercom Corp,[11796909]
727,66198,2010,BMP Sunstone Corp,
728,112033,2010,King Pharmaceuticals Inc,"[11968721, 10038507, 11170877, 12655581]"
729,113270,2010,Eclipsys Corp,[12929604]
730,121656,2010,CyberSource Corp,[11964620]
731,126601,2010,Symyx Technologies Inc,[12406658]
732,130040,2010,Chordiant Software Inc,
733,132502,2010,Palm Inc,[12366240]
734,137130,2010,Occam Networks Inc,[12723186]
735,145228,2010,ZymoGenetics Inc,[10869328]
736,145512,2010,Abraxis BioScience Inc,
737,146071,2010,Henry Bros Electronics Inc,
738,160498,2010,Cogent Inc,"[10712104, 12577706, 10907174]"
739,161965,2010,Argon ST Inc,[12998235]
740,161994,2010,COMSYS IT Partners Inc,
741,162355,2010,Unica Corp,
742,163102,2010,Micrus Endovascular Corp,[13237990]
743,174471,2010,DivX Inc,
744,174663,2010,Stanley Inc,
745,175084,2010,SenoRx Inc,[12789071]
746,175153,2010,Trubion Pharmaceuticals Inc,[13218751]
747,176279,2010,Isilon Systems Inc,[13246524]
748,176658,2010,Salary.com Inc,[12835571]
749,178548,2010,Compellent Technologies Inc,
750,178805,2010,ICx Technologies Inc,
751,178866,2010,3PAR Inc,
752,179378,2010,ArcSight Inc,
753,264506,2010,Phase Forward Inc,[12920235]
754,2251,2011,Microfluidics International Corp,[12259442]
755,5229,2011,Goodrich Corp,[10670354]
756,7106,2011,Valpey-Fisher Corp,
757,13013,2011,Synovis Life Technologies Inc,[12855794]
758,14186,2011,Gen-Probe Inc,[11352723]
759,21186,2011,Medicis Pharmaceutical Corp,[11718527]
760,22059,2011,Integral Systems Inc,
761,23945,2011,Cephalon Inc,"[11319574, 11391887]"
762,25268,2011,Ophthalmic Imaging Systems Inc,[11320360]
763,25384,2011,Equitrac Corp,[11887149]
764,61689,2011,AML Communications Inc,
765,62388,2011,Vertro Inc,
766,62826,2011,Onyx Pharmaceuticals Inc,[11697719]
767,121053,2011,S1 Corp,[13188243]
768,125358,2011,NaviSite Inc,
769,127455,2011,Caliper Life Sciences Inc,[12714452]
770,130305,2011,SAVVIS Inc,[12878502]
771,140736,2011,Endwave Corp,[12294981]
772,143668,2011,Magma Design Automation Inc,[12653338]
773,266316,2011,Icagen Inc,[12274908]
774,6110,2012,IRIS International Inc,
775,10540,2012,Thomas & Betts Corp,[10393890]
776,12091,2012,MEDTOX Scientific Inc,[12476251]
777,12884,2012,Comverse Technology Inc,[11129199]
778,24843,2012,Amylin Pharmaceuticals Inc,[11627771]
779,29312,2012,Human Genome Sciences Inc,[11750295]
780,31381,2012,EasyLink Services International Corp,
781,61398,2012,LeCroy Corp,[12811151]
782,64132,2012,World Heart Corp,[12446071]
783,65676,2012,Intermec Inc,"[12015865, 11881708, 12605982, 11586063]"
784,121153,2012,Ditech Networks Inc,
785,122921,2012,Quest Software Inc,[12934290]
786,133328,2012,Ardea Biosciences Inc,[12094306]
787,133424,2012,Allos Therapeutics Inc,[11625630]
788,138402,2012,OPNET Technologies Inc,[12378963]
789,145935,2012,Callisto Pharmaceuticals Inc,[13141786]
790,163771,2012,Kenexa Corp,
791,165244,2012,Taleo Corp,
792,165742,2012,Somaxon Pharmaceuticals Inc,
793,166569,2012,BioMimetic Therapeutics Inc,
794,176066,2012,NextWave Wireless Inc,
795,184219,2012,Convio Inc,
796,186473,2012,KAYAK Software Corp,
797,264270,2012,Inhibitex Inc,[12792739]
798,9715,2013,Symmetricom Inc,[12233800]
799,24304,2013,Rochester Medical Corp,[11476085]
800,25623,2013,Hi-Tech Pharmacal Co Inc,
801,118577,2013,Life Technologies Corp,"[11226085, 11059686, 11038823, 11113420, 10439853, 11396559, 10850227, 11122964, 12918420]"
802,121080,2013,Online Resources Corp,
803,157954,2013,Santarus Inc,
804,166200,2013,Molecular Insight Pharmaceuticals Inc,
805,175111,2013,Acme Packet Inc,[13102973]
806,175913,2013,Solta Medical Inc,[12341753]
807,176275,2013,Obagi Medical Products Inc,
808,176556,2013,Sourcefire Inc,
809,176594,2013,Optimer Pharmaceuticals Inc,
810,178531,2013,MAP Pharmaceuticals Inc,
811,179380,2013,MAKO Surgical Corp,
812,180030,2013,Epocrates Inc,
813,184114,2013,Trius Therapeutics Inc,
814,186451,2013,Responsys Inc,
815,196855,2013,ExactTarget Inc,
